Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentation
tripcom,Le Polonia Hotel & Convention Medan,635882,Medan,Indonesia,4,9.0,2025-10-13,2025-10-14,convention le medan polonia,0,Mid-Range
tripcom,Le Polonia Hotel & Convention Medan,635882,Medan,Indonesia,4,9.0,2025-10-17,2025-10-18,convention le medan polonia,0,Mid-Range
tripcom,Le Polonia Hotel & Convention Medan,635882,Medan,Indonesia,4,9.0,2025-10-14,2025-10-15,convention le medan polonia,0,Mid-Range
bookingcom,Bukit Bintang Suites At Lucentia Residence,635898,Kuala Lumpur,Malaysia,4,8.6,2025-11-05,2025-11-06,at bintang bukit lucentia residence suites,0,Mid-Range
bookingcom,Bukit Bintang Suites At Lucentia Residence,635898,Kuala Lumpur,Malaysia,4,8.6,2025-10-29,2025-10-30,at bintang bukit lucentia residence suites,0,Mid-Range
bookingcom,Bukit Bintang Suites At Lucentia Residence,635898,Kuala Lumpur,Malaysia,4,8.6,2025-11-04,2025-11-05,at bintang bukit lucentia residence suites,0,Mid-Range
bookingcom,Bukit Bintang Suites At Lucentia Residence,635898,Kuala Lumpur,Malaysia,4,8.6,2025-11-02,2025-11-03,at bintang bukit lucentia residence suites,0,Mid-Range
bookingcom,Bukit Bintang Suites At Lucentia Residence,635898,Kuala Lumpur,Malaysia,4,8.6,2025-11-01,2025-11-02,at bintang bukit lucentia residence suites,0,Mid-Range
bookingcom,Bukit Bintang Suites At Lucentia Residence,635898,Kuala Lumpur,Malaysia,4,8.6,2025-10-30,2025-10-31,at bintang bukit lucentia residence suites,0,Mid-Range
bookingcom,Bukit Bintang Suites At Lucentia Residence,635898,Kuala Lumpur,Malaysia,4,8.6,2025-11-03,2025-11-04,at bintang bukit lucentia residence suites,0,Mid-Range
bookingcom,Bukit Bintang Suites At Lucentia Residence,635898,Kuala Lumpur,Malaysia,4,8.6,2025-10-31,2025-11-01,at bintang bukit lucentia residence suites,0,Mid-Range
bookingcom,Bukit Bintang Suites At Lucentia Residence,635898,Kuala Lumpur,Malaysia,4,8.6,2025-10-28,2025-10-29,at bintang bukit lucentia residence suites,0,Mid-Range
agoda,Grande Centre Point Hotel Ratchadamri,635904,Bangkok,Thailand,5,8.8,2025-09-29,2025-09-30,centre grande point ratchadamri,0,Mid-Range
agoda,Super OYO Townhouse OAK Hotel Fiducia Pondok Gede,635937,Jakarta,Indonesia,2,8.4,2025-09-27,2025-09-28,fiducia gede oak oyo pondok super townhouse,1,Budget
bookingcom,LOI Mansion Managed by ARM One Hundred,636000,Bali,Indonesia,4,8.5,2025-11-03,2025-11-04,arm by hundred loi managed mansion one,0,Mid-Range
bookingcom,LOI Mansion Managed by ARM One Hundred,636000,Bali,Indonesia,4,8.5,2025-10-28,2025-10-29,arm by hundred loi managed mansion one,0,Mid-Range
bookingcom,LOI Mansion Managed by ARM One Hundred,636000,Bali,Indonesia,4,8.5,2025-11-05,2025-11-06,arm by hundred loi managed mansion one,0,Mid-Range
traveloka,Fairfield By Marriott Surabaya,636000,Surabaya,Indonesia,4,8.7,2025-09-26,2025-09-27,by fairfield marriott surabaya,0,Mid-Range
bookingcom,LOI Mansion Managed by ARM One Hundred,636000,Bali,Indonesia,4,8.5,2025-10-31,2025-11-01,arm by hundred loi managed mansion one,0,Mid-Range
bookingcom,LOI Mansion Managed by ARM One Hundred,636000,Bali,Indonesia,4,8.5,2025-10-29,2025-10-30,arm by hundred loi managed mansion one,0,Mid-Range
bookingcom,LOI Mansion Managed by ARM One Hundred,636000,Bali,Indonesia,4,8.5,2025-11-04,2025-11-05,arm by hundred loi managed mansion one,0,Mid-Range
bookingcom,LOI Mansion Managed by ARM One Hundred,636000,Bali,Indonesia,4,8.5,2025-10-30,2025-10-31,arm by hundred loi managed mansion one,0,Mid-Range
bookingcom,LOI Mansion Managed by ARM One Hundred,636000,Bali,Indonesia,4,8.5,2025-11-02,2025-11-03,arm by hundred loi managed mansion one,0,Mid-Range
bookingcom,LOI Mansion Managed by ARM One Hundred,636000,Bali,Indonesia,4,8.5,2025-11-01,2025-11-02,arm by hundred loi managed mansion one,0,Mid-Range
bookingcom,The Alana Hotel Malang,636054,Malang,Indonesia,4,9.3,2025-10-27,2025-10-28,alana malang the,0,Mid-Range
agoda,The Quarter Hualamphong by UHG,636100,Bangkok,Thailand,4,8.8,2025-09-30,2025-10-01,by hualamphong quarter the uhg,0,Mid-Range
tripcom,The Alana Surabaya,636274,Surabaya,Indonesia,4,9.2,2025-10-22,2025-10-23,alana surabaya the,0,Mid-Range
tripcom,The Alana Surabaya,636274,Surabaya,Indonesia,4,9.2,2025-10-21,2025-10-22,alana surabaya the,0,Mid-Range
