date,airline,departure_time,arrival_time,duration,transit,flight_price,origin,destination,seat_class,baggage,city,Platform,Hotel Name,hotel_price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,total_price,cluster_raw,cluster
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tiketcom,The Sultan Hotel & Residence Jakarta,1236122,Jakarta,Indonesia,5,8.8,2025-12-12,2025-12-13,jakarta residence sultan the,2574853.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Hilton Garden Inn Jakarta Taman Palem,1264450,Jakarta,Indonesia,4,8.8,2025-12-12,2025-12-13,garden hilton jakarta palem taman,2603181.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,Fairfield By Marriott Jakarta Soekarno-Hatta Airport,1282600,Jakarta,Indonesia,4,9.2,2025-12-12,2025-12-13,airport by fairfield jakarta marriott soekarnohatta,2621331.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,Grand Mercure Jakarta Kemayoran,1288395,Jakarta,Indonesia,5,8.5,2025-12-12,2025-12-13,grand jakarta kemayoran mercure,2627126.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Mercure Jakarta Sabang,1308000,Jakarta,Indonesia,5,8.6,2025-12-12,2025-12-13,jakarta mercure sabang,2646731.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Citadines Sudirman Jakarta,1343100,Jakarta,Indonesia,4,8.8,2025-12-12,2025-12-13,citadines jakarta sudirman,2681831.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Ashley Wahid Hasyim Jakarta,1347182,Jakarta,Indonesia,4,9.1,2025-12-12,2025-12-13,ashley hasyim jakarta wahid,2685913.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tripcom,Doubletree by Hilton Jakarta Bintaro Jaya,1389128,Jakarta,Indonesia,5,9.5,2025-12-12,2025-12-13,bintaro by doubletree hilton jakarta jaya,2727859.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Ashley Tugu Tani Menteng,1491478,Jakarta,Indonesia,4,9.3,2025-12-12,2025-12-13,ashley menteng tani tugu,2830209.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Ashley Tanah Abang,1513365,Jakarta,Indonesia,5,9.1,2025-12-12,2025-12-13,abang ashley tanah,2852096.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tiketcom,Mangkuluhur Residences by LORIN,1530650,Jakarta,Indonesia,5,10.0,2025-12-12,2025-12-13,by lorin mangkuluhur residences,2869381.0,2,Budget
