Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentation
traveloka,Aston Inn Jemursari,292761,Surabaya,Indonesia,3,8.8,2025-10-02,2025-10-03,aston jemursari,2,Best Value
traveloka,Neo+ Waru Sidoarjo by ASTON,294284,Surabaya,Indonesia,3,8.5,2025-10-02,2025-10-03,aston by neo sidoarjo waru,2,Best Value
agoda,The Life Styles Hotel Surabaya,295015,Surabaya,Indonesia,4,8.6,2025-10-02,2025-10-03,life styles surabaya the,1,Budget
agoda,Bumi Surabaya City Resort,295328,Surabaya,Indonesia,5,9.2,2025-10-02,2025-10-03,bumi city surabaya,1,Budget
agoda,favehotel MEX Tunjungan Surabaya,297695,Surabaya,Indonesia,3,7.8,2025-10-02,2025-10-03,favehotel mex surabaya tunjungan,2,Best Value
traveloka,MaxOneHotel Tidar Surabaya,303948,Surabaya,Indonesia,4,8.6,2025-10-02,2025-10-03,maxonehotel surabaya tidar,1,Budget
agoda,Swiss Belinn Tunjungan,307194,Surabaya,Indonesia,3,8.2,2025-10-02,2025-10-03,belinn swiss tunjungan,2,Best Value
agoda,Crown Prince Hotel Surabaya Managed by Midtown Indonesia Hotels,309782,Surabaya,Indonesia,3,8.7,2025-10-02,2025-10-03,by crown hotels indonesia managed midtown prince surabaya,2,Best Value
traveloka,LAMORA Kota Lama Surabaya,311974,Surabaya,Indonesia,4,9.2,2025-10-02,2025-10-03,kota lama lamora surabaya,1,Budget
traveloka,KHAS Surabaya Hotel,317875,Surabaya,Indonesia,4,8.5,2025-10-02,2025-10-03,khas surabaya,1,Budget
traveloka,Namira Syariah Hotel Surabaya,319410,Surabaya,Indonesia,4,8.6,2025-10-02,2025-10-03,namira surabaya,1,Budget
agoda,BeSS Mansion Hotel Surabaya,326242,Surabaya,Indonesia,4,9.1,2025-10-02,2025-10-03,bess mansion surabaya,1,Budget
agoda,Hotel 88 Kedungsari by WH,329204,Surabaya,Indonesia,3,8.4,2025-10-02,2025-10-03,88 by kedungsari wh,2,Best Value
traveloka,Two Bedroom Apartment at Supermall Tanglin Surabaya (Miracle),329648,Surabaya,Indonesia,4,8.3,2025-10-02,2025-10-03,apartment at bedroom miracle supermall surabaya tanglin two,1,Budget
agoda,Aria Centra Hotel Surabaya,329751,Surabaya,Indonesia,3,8.9,2025-10-02,2025-10-03,aria centra surabaya,2,Best Value
traveloka,Quest Hotel Darmo - Surabaya by ASTON,330569,Surabaya,Indonesia,3,8.5,2025-10-02,2025-10-03,aston by darmo quest surabaya,2,Best Value
agoda,JW Marriott Hotel Surabaya,333678,Surabaya,Indonesia,3,9.0,2025-10-02,2025-10-03,jw marriott surabaya,2,Best Value
agoda,DoubleTree by Hilton Surabaya,344150,Surabaya,Indonesia,1,8.9,2025-10-02,2025-10-03,by doubletree hilton surabaya,2,Best Value
agoda,BATIQA Hotel Darmo - Surabaya,347851,Surabaya,Indonesia,4,8.9,2025-10-02,2025-10-03,batiqa darmo surabaya,1,Budget
