Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
agoda,Conrad Singapore Orchard,2717928,Singapura,Singapura,5,9.1,2025-12-08,2025-12-09,conrad orchard singapore
agoda,Bloom House Hôtel,2718751,Paris,Perancis,4,8.9,2025-12-11,2025-12-12,bloom house hôtel
agoda,HOTEL BEAUGRENELLE SAINT CHARLES TOUR EIFFEL,2718751,Paris,Perancis,3,8.3,2025-12-14,2025-12-15,beaugrenelle charles eiffel saint tour
agoda,Grand Hotel Magenta,2718751,Paris,Perancis,1,7.5,2025-12-12,2025-12-13,grand magenta
agoda,citizenM Paris Gare de Lyon,2718751,Paris,Perancis,4,8.6,2025-12-13,2025-12-14,citizenm de gare lyon paris
tripcom,Hotel Champerret Elysees,2718773,Paris,Perancis,3,8.6,2025-12-14,2025-12-15,champerret elysees
tripcom,Aparthotel Adagio Porte de Versailles,2718893,Paris,Perancis,4,8.4,2025-12-15,2025-12-16,adagio aparthotel de porte versailles
agoda,Novotel Citygate Hong Kong Hotel,2719400,Hong Kong,China,4,8.5,2025-12-13,2025-12-14,citygate hong kong novotel
agoda,voco Seoul Myeongdong By IHG,2719467,Seoul,South Korea,5,9.0,2025-12-16,2025-12-17,by ihg myeongdong seoul voco
tripcom,Hotel Riviera Elysees,2719749,Paris,Perancis,3,7.1,2025-12-13,2025-12-14,elysees riviera
bookingcom,YOTEL Singapore Orchard Road,2720369,Singapura,Singapura,4,8.8,2025-12-18,2025-12-19,orchard road singapore yotel
tripcom,OHAYO・AN,2720969,Tokyo,Jepang,3,9.2,2025-12-14,2025-12-15,ohayoan
tripcom,OKKO HOTELS Paris Rosa Parks,2722410,Paris,Perancis,4,8.8,2025-12-17,2025-12-18,hotels okko paris parks rosa
bookingcom,"Mandarin Oriental, Jakarta",2722500,Jakarta,Indonesia,5,9.2,2025-12-11,2025-12-12,jakarta mandarin oriental
bookingcom,"Mandarin Oriental, Jakarta",2722500,Jakarta,Indonesia,5,9.2,2025-12-12,2025-12-13,jakarta mandarin oriental
bookingcom,"Mandarin Oriental, Jakarta",2722500,Jakarta,Indonesia,5,9.2,2025-12-13,2025-12-14,jakarta mandarin oriental
tripcom,Le Meridien Jakarta,2722500,Jakarta,Indonesia,5,9.4,2025-12-17,2025-12-18,jakarta le meridien
bookingcom,"Mandarin Oriental, Jakarta",2722500,Jakarta,Indonesia,5,9.2,2025-12-18,2025-12-19,jakarta mandarin oriental
bookingcom,"Mandarin Oriental, Jakarta",2722500,Jakarta,Indonesia,5,9.2,2025-12-16,2025-12-17,jakarta mandarin oriental
bookingcom,"Mandarin Oriental, Jakarta",2722500,Jakarta,Indonesia,5,9.2,2025-12-14,2025-12-15,jakarta mandarin oriental
tripcom,The Westin Surabaya,2722500,Surabaya,Indonesia,5,9.5,2025-12-12,2025-12-13,surabaya the westin
bookingcom,"Mandarin Oriental, Jakarta",2722500,Jakarta,Indonesia,5,9.2,2025-12-15,2025-12-16,jakarta mandarin oriental
bookingcom,"Mandarin Oriental, Jakarta",2722500,Jakarta,Indonesia,5,9.2,2025-12-17,2025-12-18,jakarta mandarin oriental
bookingcom,"Mandarin Oriental, Jakarta",2722500,Jakarta,Indonesia,5,9.2,2025-12-10,2025-12-11,jakarta mandarin oriental
tripcom,Daiwa Roynet Hotel Tokyo Shimbashi,2722501,Tokyo,Jepang,3,9.1,2025-12-08,2025-12-09,daiwa roynet shimbashi tokyo
tripcom,Novotel Paris Saint-Denis Stade Basilique,2724864,Paris,Perancis,4,9.1,2025-12-12,2025-12-13,basilique novotel paris saintdenis stade
tripcom,The Royal Pacific Hotel and Towers,2725102,Hong Kong,China,4,8.8,2025-12-09,2025-12-10,and pacific royal the towers
tripcom,Dupleix Hotel,2725965,Paris,Perancis,2,7.4,2025-12-18,2025-12-19,dupleix
agoda,Sunway Lagoon Hotel - formerly Sunway Clio Hotel,2727351,Kuala Lumpur,Malaysia,4,8.7,2025-12-10,2025-12-11,clio formerly lagoon sunway sunway
