Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
agoda,Hilton Paris Charles de Gaulle Airport,3745595,Paris,Perancis,4,8.1,04/10/2025,05/10/2025,airport charles de gaulle hilton paris
traveloka,First Hotel Paris Tour Eiffel,3747421,Paris,Perancis,4,9.3,05/10/2025,06/10/2025,eiffel first paris tour
traveloka,The Kimberley Hotel,3747589,Hong Kong,China,5,8.4,05/10/2025,06/10/2025,kimberley the
agoda,Hamilton Hotel Itaewon,3748172,Seoul,South Korea,5,8.4,05/10/2025,06/10/2025,hamilton itaewon
traveloka,Hôtel Hor Europe,3748594,Paris,Perancis,4,9.0,05/10/2025,06/10/2025,europe hor hôtel
tripcom,Asakusa View Hotel,3748772,Tokyo,Jepang,5,9.1,17/10/2025,18/10/2025,asakusa view
tripcom,Jyu Capsule Hotel,3749400,Singapura,Singapura,2,9.1,12/10/2025,13/10/2025,capsule jyu
tripcom,Harbour Grand Kowloon,3750678,Hong Kong,China,5,8.8,20/10/2025,21/10/2025,grand harbour kowloon
traveloka,Amara Sanctuary Sentosa,3751519,Singapura,Singapura,5,8.1,30/09/2025,01/10/2025,amara sanctuary sentosa
traveloka,JR-East Hotel Mets Shibuya,3751670,Tokyo,Jepang,4,8.8,05/10/2025,06/10/2025,jreast mets shibuya
tripcom,Hotel Riviera Elysees,3753809,Paris,Perancis,3,7.1,21/10/2025,22/10/2025,elysees riviera
traveloka,Grand Hotel De Turin,3753953,Paris,Perancis,4,8.6,01/10/2025,02/10/2025,de grand turin
tripcom,Hotel Astoria - Astotel,3755469,Paris,Perancis,3,8.7,13/10/2025,14/10/2025,astoria astotel
agoda,Opera Deauville Hotel,3756339,Paris,Perancis,3,7.5,28/09/2025,29/09/2025,deauville opera
traveloka,Henn na Hotel Premier Tokyo Asakusa Tawaramachi,3756340,Tokyo,Jepang,3,9.0,27/09/2025,28/09/2025,asakusa henn na premier tawaramachi tokyo
traveloka,Village Hotel Bugis by Far East Hospitality,3756459,Singapura,Singapura,4,8.5,30/09/2025,01/10/2025,bugis by east far hospitality village
